"ImageID","area.mm2"
"605_GC1",1.7275315
"605_GC2",1.4043494
"607_GC1",2.3751936
"607_GC2",2.1424333
"609_GC1",2.7290931
"609_GC2",2.1999744
"611_GC1",2.0143718
"611_GC2",2.5426253
"613_GC1",2.0909491
"613_GC2",2.5932442
"615_GC1",1.3623834
"616_GC1",2.0520115
"617_GC1",2.374761
"617_GC2",1.9399578
"619_GC1",2.347072
"619_GC2",2.5227238
"621_GC1",2.1978112
"621_GC2",1.5769728
"623_GC1",2.6334797
"623_GC2",1.3710362
"625_GC1",1.9676467
"626_GC1",2.0204288
"626_GC2",2.0606643
"628_GC1",1.3965619
"628_GC2",2.3700019
"630_GC1",2.4314368
"630_GC2",1.9598592
"632_GC1",2.6014643
"632_GC2",2.623529
"634_GC1",2.5819955
"634_GC2",2.3669734
"636_GC1",1.3571917
"636_GC2",1.7145523
"638_GC1",2.1342131
"638_GC2",2.6036275
"640_GC1",1.962455
"640_GC2",2.390336
"642_GC1",2.4976307
"642_GC2",2.5984358
"644_GC1",2.384279
"644_GC2",2.2025702
"701_GC1",2.4024499
"701_GC2",1.3329638
"703_GC1",2.0563379
"704_GC1",1.6042291
"705_GC1",1.1953843
"706_GC1",1.1586099
"707_GC1",2.3890381
"707_GC2",1.5977395
"709_GC1",0.9353677
"709_GC2",0.8639821
"711_GC1",0.6446336
"712_GC1",2.8000461
"712_GC2",2.1013325
"714_GC1",1.0794368
"715_GC1",2.5205606
"715_GC2",2.6966451
"717_GC1",1.4804941
"718_GC1",1.7742566
"718_GC2",1.6366771
"720_GC1",2.6750131
"720_GC2",1.2563866
"722_GC1",1.9737037
"722_GC2",1.6730189
"724_GC1",2.4522035
"725_GC1",2.428841
"725_GC2",2.5988685
"727_GC1",2.3609165
"727_GC2",2.0321101
"729_GC1",2.2726579
"730_GC1",1.6358118
"730_GC2",2.5867546
"732_GC1",2.7675981
"732_GC2",2.7801446
"801_GC1",1.9641856
"801_GC2",1.9563981
"803_GC1",2.3561574
"803_GC2",1.8356915
"805_GC1",2.0126413
"805_GC2",1.8010803
"807_GC1",2.1095526
"807_GC2",2.3544269
"809_GC1",2.1294541
"809_GC2",2.4543667
"811_GC1",2.286935
"811_GC2",2.1597389
"813_GC1",1.3723341
"813_GC2",1.6786432
"815_GC1",1.9200563
"815_GC2",2.1437312
"817_GC1",2.9769958
"818_GC1",2.0295142
"818_GC2",2.1666611
"820_GC1",2.1147443
"820_GC2",2.1026304
"822_GC1",1.8893389
"822_GC2",1.7608448
"824_GC1",2.7381786
"824_GC2",1.8266061
"826_GC1",1.7578163
"826_GC2",1.8802534
"828_GC1",2.2423731
"828_GC2",1.8802534
"830_GC1",1.3100339
"830_GC2",1.1162112
"832_GC1",1.9598592
"832_GC2",2.0013926
"834_GC1",2.2458342
"834_GC2",2.3310643
"836_GC1",1.9114035
"836_GC2",2.585024
"838_GC1",2.5084467
"838_GC2",1.9494758
"840_GC1",1.1927885
"840_GC2",2.0459546
"842_GC1",2.2704947
"843_GC1",3.1253914
"843_GC2",1.5678874
